"Title:","Added Fats and Oils from the Food Availability Database"
"SubTitle:","USA - Category: Added Fats and Oils - Food availability - Demographic Indicator: Total, Fat Content Basis"
"Time:","1921 - 2010"
"Unit of Measure:","Million Pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Added Fats and Oils: Added Fats and Oils |  | Added Fats and Oils - Food availability | Total, Fat Content Basis, 1921 - 2010. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-011 doi:https://doi.org/10.6068/DP17C9A038FAD33"
"ColumnCount:","2"
"RowCount:","90"

"Time","USA"
"1921",3890.9
"1922",4336.8
"1923",4557.2
"1924",4730.3
"1925",4958.8
"1926",5120.4
"1927",5209.7
"1928",5264.1
"1929",5433.1
"1930",5514.4
"1931",5483.2
"1932",5341.2
"1933",5388.4
"1934",5603.4
"1935",5596.6
"1936",5824.7
"1937",5842.1
"1938",5868.8
"1939",6063.8
"1940",6113.3
"1941",6371.9
"1942",6140.7
"1943",5826.8
"1944",5927.7
"1945",5702.8
"1946",5622.3
"1947",6050.1
"1948",6268.5
"1949",6365.4
"1950",6958.1
"1951",6501.6
"1952",6898.1
"1953",7015.4
"1954",7351.3
"1955",7581
"1956",7604.2
"1957",7566.6
"1958",7852.5
"1959",8170.8
"1960",8155.1
"1961",8274.5
"1962",8485.4
"1963",8738.4
"1964",9105.5
"1965",9259.8
"1966",9736.5
"1967",9745.3
"1968",10190.3
"1969",10440.7
"1970",10758
"1971",10717.3
"1972",11139.1
"1973",11291.6
"1974",11161.1
"1975",11311.7
"1976",11932
"1977",11530.9
"1978",11992.6
"1979",12451.2
"1980",12672.5
"1981",12699.7
"1982",12927
"1983",13502.1
"1984",14237.6
"1985",15190.1
"1986",15496.2
"1987",15318.4
"1988",15615.5
"1989",14958.4
"1990",15148.1
"1991",15674.4
"1992",16444.9
"1993",17547.5
"1994",17388.3
"1995",17138.7
"1996",16991.2
"1997",17082.6
"1998",17366.2
"1999",18298.7
"2000",23068.7
"2001",23587.6
"2002",25139.7
"2003",25258.6
"2004",25358.2
"2005",25317.5
"2006",25258.8
"2007",25592.5
"2008",25907.5
"2009",23879
"2010",25448.7



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."