"Title:","Beef, Veal, Pork, Lamb and Mutton, and Total Red Meats from the Food Availability Database"
"SubTitle:","USA - Category: Beef - Supply and use - Demographic Indicator: Supply: Total"
"Time:","1921 - 2017"
"Unit of Measure:","Million pounds"
"Citation:","Economic Research Service, United States Department of Agriculture  (2019-10-16). Beef, Veal, Pork, Lamb and Mutton, and Total Red Meats: Beef, Veal, Pork, Lamb and Mutton, and Total Red Meats |  | Beef - Supply and use | Supply: Total, 1921 - 2017. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  008-006-005 doi:https://doi.org/10.6068/DP17BC58297704"
"ColumnCount:","2"
"RowCount:","97"

"Time","USA"
"1921",6194
"1922",6707
"1923",6867
"1924",7015
"1925",7054
"1926",7246
"1927",6630
"1928",6030
"1929",6216
"1930",6155
"1931",6136
"1932",5905
"1933",6587
"1934",8542
"1935",7229
"1936",7990
"1937",7219
"1938",7169
"1939",7288
"1940",7420
"1941",8446
"1942",9191
"1943",8939
"1944",9621
"1945",10570
"1946",9895
"1947",10650
"1948",9595
"1949",9835
"1950",9993
"1951",9456
"1952",10297
"1953",12940
"1954",13443
"1955",13986
"1956",14878
"1957",14836
"1958",14360
"1959",14801
"1960",15715
"1961",16516
"1962",16936
"1963",18293
"1964",19802
"1965",19962
"1966",21136.7
"1967",21803.6
"1968",22621.7
"1969",23036.5
"1970",23828.9
"1971",23976.4
"1972",24739
"1973",23744.9
"1974",25332
"1975",26251.7
"1976",28497.9
"1977",27824
"1978",26949.8
"1979",24380.5
"1980",24165.9
"1981",24564.5
"1982",24810.9
"1983",25604.8
"1984",25849.6
"1985",26271.3
"1986",26920
"1987",26246.5
"1988",26354.6
"1989",25687.9
"1990",25434
"1991",25721.9
"1992",25945.1
"1993",25810.9
"1994",27286.9
"1995",27873.7
"1996",28116.2
"1997",28211.5
"1998",28868.3
"1999",29759.2
"2000",30331.6
"2001",29900.4
"2002",31015.6
"2003",30035.9
"2004",28847.2
"2005",29022.3
"2006",29912.1
"2007",30205.4
"2008",29825.2
"2009",29323.8
"2010",29251.4
"2011",28911.8
"2012",28808.9
"2013",28648.2
"2014",27846.2
"2015",27719.4
"2016",28982.8
"2017",30000.2



"Publisher:", "United States Department of Agriculture "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."